,éqâπ,à íu,ï˚ñ@,å˚äWÅEâ~êO,çAì™âª,ê∫ë—êUìÆ,,à íu,ï˚ñ@,å˚äWÅEâ~êO,çAì™âª,ê∫ë—êUìÆ
1,p,1,1,0,0,1,p,1.00E+16,10000001,100001,1001,110
2,ph,1,1,0,1,1,ph,1.00E+16,10000001,100001,1010,110
3,px,1,1,0,2,1,px,1.00E+16,10000001,100001,1100,110
4,pj,1,1,2,0,1,pj,1.00E+16,10000001,100100,1001,110
5,pjh,1,1,2,1,1,pjh,1.00E+16,10000001,100100,1010,110
6,pjx,1,1,2,2,1,pjx,1.00E+16,10000001,100100,1100,110
7,b,1,1,0,0,0,b,1.00E+16,10000001,100001,1001,101
8,bj,1,1,2,0,0,bj,1.00E+16,10000001,100100,1001,101
9,hw,1,3,0,0,1,hw,1.00E+16,10000100,100001,1001,110
10,?,11,1,0,1,0,?,1.00E+16,10000001,100001,1010,101
11,!,11,7,0,0,0,!,1.00E+16,11000000,100001,1001,101
12,h,11,2,0,0,1,h,1.00E+16,10000010,100001,1001,110
13,h!,11,2,0,0,0,h!,1.00E+16,10000010,100001,1001,101
14,m,1,4,0,0,0,m,1.00E+16,10001000,100001,1001,101
15,!m,1,4,0,1,0,!m,1.00E+16,10001000,100001,1010,101
16,?m,1,4,0,2,0,?m,1.00E+16,10001000,100001,1100,101
17,mj,1,4,2,0,0,mj,1.00E+16,10001000,100100,1001,101
18,,1,4,2,1,0,,1.00E+16,10001000,100100,1010,101
19,,1,4,2,2,0,,1.00E+16,10001000,100100,1100,101
20,f,2,3,0,0,1,f,1.00E+16,10000100,100001,1001,110
21,v,2,3,0,0,1,v,1.00E+16,10000100,100001,1001,110
22,t,4,1,0,0,1,t,1.00E+16,10000001,100001,1001,110
23,th,4,1,0,1,1,th,1.00E+16,10000001,100001,1010,110
24,tx,4,1,0,2,1,tx,1.00E+16,10000001,100001,1100,110
25,ts3,3,2,0,0,0,ts3,1.00E+16,10000010,100001,1001,101
26,tj,4,1,2,0,1,tj,1.00E+16,10000001,100100,1001,110
27,tjh,4,1,2,1,1,tjh,1.00E+16,10000001,100100,1010,110
28,tjx,4,1,2,2,1,tjx,1.00E+16,10000001,100100,1100,110
29,d,4,1,0,0,0,d,1.00E+16,10000001,100001,1001,101
30,ts,4,2,0,0,1,ts,1.00E+16,10000010,100001,1001,110
31,tsh,4,2,0,1,1,tsh,1.00E+16,10000010,100001,1010,110
32,tsx,4,2,0,2,1,tsx,1.00E+16,10000010,100001,1100,110
33,ts2,4,2,2,0,1,ts2,1.00E+16,10000010,100100,1001,110
34,ts2h,4,2,2,1,1,ts2h,1.00E+16,10000010,100100,1010,110
35,ts2x,4,2,2,2,1,ts2x,1.00E+16,10000010,100100,1100,110
36,dz,4,2,0,0,0,dz,1.00E+16,10000010,100001,1001,101
37,dz1,4,2,1,0,0,dz1,1.00E+16,10000010,100010,1001,101
38,dz2,4,2,2,0,0,dz2,1.00E+16,10000010,100100,1001,101
39,s,4,3,0,0,1,s,1.00E+16,10000100,100001,1001,110
40,s1,4,3,1,0,1,s1,1.00E+16,10000100,100010,1001,110
41,s2,4,3,2,0,1,s2,1.00E+16,10000100,100100,1001,110
42,z,4,3,0,0,0,z,1.00E+16,10000100,100001,1001,101
43,z2,4,3,2,0,0,z2,1.00E+16,10000100,100100,1001,101
44,n,4,4,0,0,0,n,1.00E+16,10001000,100001,1001,101
45,,4,4,0,1,0,,1.00E+16,10001000,100001,1010,101
46,,4,4,0,2,0,,1.00E+16,10001000,100001,1100,101
47,nj,4,4,2,0,0,nj,1.00E+16,10001000,100100,1001,101
48,,4,4,2,1,0,,1.00E+16,10001000,100100,1010,101
49,,4,4,2,2,0,,1.00E+16,10001000,100100,1100,101
50,r,4,5,0,0,0,r,1.00E+16,10010000,100001,1001,101
51,,4,5,0,1,0,,1.00E+16,10010000,100001,1010,101
