,ïÍâπ,í∑Ç≥,å˚ÇÃäJÇ´,ê„ÇÃà íu,êOÇÃèÛë‘,ñ≥ê∫ï@âπ,,í∑Ç≥,å˚ÇÃäJÇ´,ê„ÇÃà íu,êOÇÃèÛë‘,ñ≥ê∫ï@âπ
1,y,1,1,4,1,0,y,10000001,100001,11000,101,101
2,i,1,1,1,1,0,i,10000001,100001,10001,101,101
3,i2,1,1,2,1,0,i2,10000001,100001,10010,101,101
4,e,1,5,1,1,0,e,10000001,110000,10001,101,101
5,e2,1,5,2,1,0,e2,10000001,110000,10010,101,101
6,a,1,4,3,1,0,a,10000001,101000,10100,101,101
7,o,1,5,3,2,0,o,10000001,110000,10100,110,101
8,u,1,1,3,2,0,u,10000001,100001,10100,110,101
9,o2,1,2,2,2,0,o2,10000001,100010,10010,110,101
10,y:,2,1,4,1,0,y:,10000010,100001,11000,101,101
11,yq,3,1,4,1,0,yq,10000100,100001,11000,101,101
12,yn,4,1,4,1,0,yn,10001000,100001,11000,101,101
13,i:,2,1,1,1,0,i:,10000010,100001,10001,101,101
14,iq,3,1,1,1,0,iq,10000100,100001,10001,101,101
15,in,4,1,1,1,0,in,10001000,100001,10001,101,101
16,i2:,2,1,2,1,0,i2:,10000010,100001,10010,101,101
17,i2q,3,1,2,1,0,i2q,10000100,100001,10010,101,101
18,i2n,4,1,2,1,0,i2n,10001000,100001,10010,101,101
19,e:,2,5,1,1,0,e:,10000010,110000,10001,101,101
20,eq,3,5,1,1,0,eq,10000100,110000,10001,101,101
21,en,4,5,1,1,0,en,10001000,110000,10001,101,101
22,e2:,2,5,2,1,0,e2:,10000010,110000,10010,101,101
23,e2q,3,5,2,1,0,e2q,10000100,110000,10010,101,101
24,e2n,4,5,2,1,0,e2n,10001000,110000,10010,101,101
25,a:,2,4,3,1,0,a:,10000010,101000,10100,101,101
26,aq,3,4,3,1,0,aq,10000100,101000,10100,101,101
27,an,4,4,3,1,0,an,10001000,101000,10100,101,101
28,ai,5,1,1,1,0,ai,10010000,100001,10001,101,101
29,o:,2,5,3,2,0,o:,10000010,110000,10100,110,101
30,oq,3,5,3,2,0,oq,10000100,110000,10100,110,101
31,on,4,5,3,2,0,on,10001000,110000,10100,110,101
32,u:,2,1,3,2,0,u:,10000010,100001,10100,110,101
33,uq,3,1,3,2,0,uq,10000100,100001,10100,110,101
34,un,4,1,3,2,0,un,10001000,100001,10100,110,101
35,ui,5,1,1,1,0,ui,10010000,100001,10001,101,101
36,u:q,7,1,1,1,0,u:q,11000000,100001,10001,101,101
37,o:q,7,5,3,2,0,o:q,11000000,110000,10100,110,101
38,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0
39,-9,-9,-9,-9,-9,-9,-9,????????,??????,?????,???,???
40,.,.,.,.,.,.,.,.,.,.,.,.
min,,-9,-9,-9,-9,-9,,,,,,
max,,7,5,4,2,0,,,,,,
,,,,,,,,,,,,
,,,,,,,.,.,.,.,.,.
,,,,,,,-9,????????,??????,?????,???,???
,,,,,,,-1,0,0,0,0,0
,,,,,,,0,,,,,101
,,,,,,,1,10000001,100001,10001,101,110
,,,,,,,2,10000010,100010,10010,110,
,,,,,,,3,10000100,100100,10100,,
,,,,,,,4,10001000,101000,11000,,
,,,,,,,5,10010000,110000,,,
,,,,,,,6,10100000,,,,
,,,,,,,7,11000000,,,,
